Gender,Age,StudyHours,Attendance,ExamScore,FinalGrade,Motivation,StressLevel,LearningStyle,AssignmentCompletion,Extracurricular,OnlineCourses
M,21,12,63,59.5,59.5,4,1,3,83,0,1
M,21,12,99,82.0,82.0,1,3,2,80,0,0
M,19,15,85,66.0,66.0,4,4,1,85,1,0
M,19,1,65,49.5,49.5,4,1,2,79,1,0
M,23,15,74,53.25,53.25,2,1,1,87,0,0
M,19,2,97,51.5,51.5,4,4,1,65,1,0
N,19,18,81,59.75,59.75,3,1,1,89,1,0
M,23,5,86,39.0,39.0,4,4,1,95,0,1
M,24,18,87,70.75,70.75,3,4,3,97,0,1
M,21,2,89,54.25,54.25,2,1,1,94,0,0
M,18,10,84,66.5,66.5,2,1,1,82,1,0
M,18,19,97,54.0,57.0,2,1,2,99,1,0
M,21,11,64,65.33333333333333,73.25,4,4,2,84,0,1
M,18,3,83,44.333333333333336,40.5,1,2,1,80,1,1
M,17,14,65,73.66666666666667,72.25,3,4,1,62,1,1
M,17,10,66,70.75,70.75,1,1,1,81,1,0
B,22,18,85,65.0,70.0,2,3,3,87,0,0
M,23,5,82,56.66666666666666,56.0,2,1,3,99,1,0
M,21,3,72,47.0,52.0,3,3,1,85,1,0
M,23,12,62,61.333333333333336,48.75,2,4,3,98,0,0
M,19,7,92,59.25,59.25,1,4,3,93,1,0
M,22,14,63,70.5,70.5,2,3,3,77,0,1
M,18,7,78,41.25,41.25,2,4,1,61,1,0
M,21,4,62,76.75,76.75,3,4,3,72,0,0
N,24,5,62,62.5,62.5,4,2,1,93,1,1
M,24,18,94,60.0,60.0,4,2,3,64,0,1
M,18,17,95,58.25,58.25,4,4,2,90,0,1
M,22,2,92,60.5,60.5,3,2,2,93,1,0
M,21,14,83,76.5,76.5,3,1,3,88,1,1
M,19,6,82,44.5,44.5,1,4,1,91,0,0
M,20,1,95,42.25,42.25,2,1,1,91,1,0
M,17,2,84,70.0,70.0,1,4,1,90,0,1
M,24,5,75,61.75,61.75,3,1,3,91,1,1
M,21,8,66,73.0,73.0,4,1,1,66,0,0
M,24,8,94,70.75,70.75,2,3,1,81,0,1
N,24,14,91,64.0,64.0,3,2,3,81,0,0
M,23,6,60,79.75,79.75,4,2,3,98,1,1
M,20,16,92,79.0,79.0,4,1,3,90,1,1
M,19,1,60,63.0,63.0,2,2,2,98,0,0
M,22,18,70,68.75,68.75,2,2,3,68,1,0
M,22,6,79,52.333333333333336,53.75,3,3,1,78,0,1
M,21,8,93,76.66666666666667,78.25,4,3,1,78,0,0
M,21,10,71,80.33333333333333,74.25,2,1,1,80,0,0
M,21,15,85,45.333333333333336,53.0,3,1,3,94,0,1
M,23,4,66,60.25,60.25,4,3,3,76,1,0
M,23,12,70,77.75,77.75,4,4,2,78,1,0
M,20,4,67,63.25,63.25,4,3,1,73,0,0
M,18,7,79,69.5,68.0,1,4,2,99,0,0
M,18,3,74,64.25,64.25,3,4,3,63,0,0
M,22,14,88,56.333333333333336,60.5,4,4,1,80,0,1
M,23,13,86,56.0,53.0,1,2,1,79,0,0
M,20,14,61,74.5,74.5,4,3,1,85,0,0
M,22,10,92,62.0,62.0,3,4,3,88,0,1
M,18,1,94,55.0,55.0,3,2,1,85,0,1
M,22,6,61,59.0,59.0,2,2,2,65,1,1
N,20,17,61,58.0,58.0,3,4,3,63,0,1
M,23,1,67,71.0,71.0,3,2,2,84,0,0
M,18,13,85,67.5,67.5,1,2,3,60,0,0
M,17,4,75,78.25,78.25,3,1,3,77,1,0
M,18,15,90,66.5,66.5,2,4,1,98,1,1
M,23,5,70,57.5,57.5,1,1,1,90,0,1
M,21,8,71,79.75,79.75,4,1,2,69,1,1
M,17,16,73,92.25,92.25,3,3,3,91,0,0
M,21,10,67,55.25,55.25,1,3,3,85,0,1
M,22,2,92,72.0,72.0,1,3,2,82,1,1
M,22,12,71,75.5,75.5,3,1,2,82,0,1
M,22,16,76,67.0,67.0,1,1,3,88,1,1
M,24,6,86,57.5,57.5,3,2,3,68,0,1
M,21,4,91,75.25,75.25,4,1,2,93,1,1
M,18,16,96,62.25,62.25,4,3,3,99,0,0
